,,,,Taxable Property Value ($),Taxable Property Value ($),Taxable Property Value ($),Taxable Property Value ($),Taxable Property Value ($),Per Capita Taxable Property Value ($),Per Capita Taxable Property Value ($),Per Capita Taxable Property Value ($),Per Capita Taxable Property Value ($),Per Capita Taxable Property Value ($),Income Per Taxpayer ($),Income Per Taxpayer ($),Income Per Taxpayer ($),Income Per Taxpayer ($),Income Per Taxpayer ($),No.of Taxpayers and Dependents,No.of Taxpayers and Dependents,No.of Taxpayers and Dependents,No.of Taxpayers and Dependents,No.of Taxpayers and Dependents,% Residential Value,% Residential Value,% Residential Value,% Residential Value,% Residential Value,Moody's Rating,Moody's Rating,Moody's Rating,Moody's Rating,Moody's Rating
Cumberland,Upper Deerfield,3,2,"637,861,149","618,819,316","600,159,121","604,564,343","626,521,211","83,731","81,574","80,139","81,357","84,894","28,436.95","28,508.30",-,-,-,"6,925","7,186",-,-,-,67.23,67.56,95.2,67.82,67.8,-,-,-,-,-
Cumberland,Millville,1,2,"1,577,905,637","1,607,632,682","1,582,301,528","1,588,765,870","1,565,746,858","55,371","56,948","56,392","56,908","56,662","23,777.71","24,490.03",-,-,-,"23,655","23,771",-,-,-,71.46,71.44,107.48,71.48,71.36,A1,A1,A1,A1,-
Essex,Cedar Grove,40,11,"2,232,203,283","2,309,428,441","2,289,007,599","2,292,195,451","2,318,039,202","177,978","182,925","181,783","180,445","184,719","57,562.19","59,330.56",-,-,-,"11,668","11,722",-,-,-,82.14,82.31,103.26,82.07,82.19,-,-,-,-,-
Essex,Belleville,29,8,"2,770,127,348","2,790,454,316","2,704,389,466","2,736,263,211","2,850,454,611","76,111","76,758","74,701","74,970","77,877","27,763.28","28,904.62",-,-,-,"33,803","33,755",-,-,-,74.27,74.16,100.73,74.69,74.49,A2,A2,A3,A3,-
Essex,Roseland,27,11,"1,815,396,341","1,795,829,523","1,828,881,097","1,771,681,404","1,794,988,520","311,603","305,621","310,770","298,414","306,783","67,426.73","69,985.86",-,-,-,"5,932","5,903",-,-,-,56.82,56.5,107.55,56.71,57.48,-,-,-,-,-
Essex,Verona,26,11,"2,217,719,736","2,301,521,612","2,373,306,154","2,375,674,057","2,485,413,477","161,866","169,616","175,553","174,579","185,202","58,516.22","60,224.87",-,-,-,"13,428","13,671",-,-,-,86.89,87.1,117.63,87.32,87.58,Aa2,Aa2,Aa2,Aa2,-
Gloucester,Clayton,3,2,"457,694,424","460,922,676","462,055,056","477,052,135","487,658,122","55,097","54,271","53,640","54,985","56,143","25,965.37","26,948.08",-,-,-,"7,156","7,149",-,-,-,84.99,85.57,99.83,86.67,86.7,A1,A1,A1,A1,-
Gloucester,Glassboro,3,1,"1,098,527,640","1,144,980,768","1,168,542,218","1,166,972,154","1,216,448,826","57,796","59,585","58,913","58,317","60,847","30,190.78","31,389.71",-,-,-,"13,208","13,233",-,-,-,75.83,75.84,96.94,74.43,74.69,A1,A1,A1,A1,-
Essex,North Caldwell,26,11,"1,653,891,782","1,716,965,068","1,751,962,809","1,802,762,639","1,804,382,867","243,829","257,764","262,702","267,870","272,648","119,629.05","118,838.42",-,-,-,"6,637","6,624",-,-,-,96.79,97.08,110.07,96.98,96.67,Aa3,Aa3,Aa2,Aa2,-
Bergen,Woodcliff Lake,39,5,"2,009,920,858","1,153,860,082","1,935,004,044","1,995,767,160","1,949,356,349","342,406","195,008","328,468","338,094","332,541","108,539.07","103,762.85",-,-,-,"5,972","6,044",-,-,-,72.55,72.23,100.77,70.94,71.6,Aa1,Aa1,Aa1,Aa1,-
Sussex,Andover Twp,24,5,"684,777,001","682,663,656","686,289,126","680,189,757","694,338,186","111,618","113,362","114,267","113,782","117,406","46,479.84","48,823.84",-,-,-,"5,296","5,181",-,-,-,79.49,79.79,105.7,78.68,78.99,Aa3,-,-,-,-
Bergen,Wood-Ridge,36,9,"1,158,906,408","2,022,030,699","1,172,444,735","1,309,364,880","1,474,354,960","137,149","245,124","136,331","145,195","160,973","43,040.94","43,721.92",-,-,-,"7,966","8,238",-,-,-,73.99,73.95,144.09,75.81,77.11,A2,A2,A1,-,-
Somerset,Watchung,21,7,"1,684,505,323","1,687,333,485","1,723,610,561","1,765,566,805","1,807,638,654","287,311","285,215","289,731","294,999","298,537","105,301.42","105,101.54",-,-,-,"6,120","6,135",-,-,-,76.58,76.91,99.92,77.77,77.39,Aa2,Aa2,Aa2,Aa2,-
Bergen,Washington Twp,39,5,"1,708,495,874","1,741,923,761","1,742,520,785","1,794,205,026","1,801,336,795","183,551","185,805","186,266","191,015","194,823","54,678.83","57,168.92",-,-,-,"9,214","9,172",-,-,-,96.47,96.48,107.72,96.37,96.39,Aa2,Aa2,Aa2,-,-
Bergen,Waldwick,40,5,"1,532,930,087","1,527,907,278","1,573,587,654","1,607,303,628","1,662,020,108","154,110","151,353","156,951","159,265","162,831","43,502.88","45,093.86",-,-,-,"9,578","9,711",-,-,-,89.13,89.33,99.97,89.46,88.56,Aa2,Aa2,Aa2,Aa2,-
Sussex,Green,24,5,"464,613,660","452,625,974","462,702,724","459,144,168","467,314,077","132,293","129,100","132,504","131,711","134,440","51,526.08","49,391.66",-,-,-,"3,466","3,419",-,-,-,85.11,85.39,110.27,85.78,86.14,A1,A1,A1,A1,-
Sussex,Fredon,24,5,"441,538,977","428,222,268","428,582,937","433,177,888","430,390,256","134,084","131,599","133,390","135,538","135,556","51,565.26","49,505.97",-,-,-,"3,163","3,173",-,-,-,80.91,80.84,98.12,80.84,80.67,Aa3,Aa3,Aa3,Aa3,-
Sussex,Frankford,24,5,"818,354,411","819,539,501","805,636,262","792,864,273","812,093,615","149,717","150,789","149,997","148,254","152,908","39,879.80","41,211.16",-,-,-,"4,785","4,636",-,-,-,78.21,78.43,110.18,79.14,79.33,-,-,-,-,-
Burlington,Bordentown,7,3,"359,213,799","339,419,148","346,158,793","368,888,259","352,748,902","92,106","87,434","89,888","96,190","92,804","36,395.70","36,565.86",-,-,-,"3,404","3,442",-,-,-,72.37,73.16,104.38,73.28,72.68,A1,A1,A1,A1,-
Burlington,Bass River,9,2,"177,603,122","176,538,091","174,980,076","167,565,751","176,405,937","123,164","121,834","121,261","116,689","124,055","34,994.38","34,811.53",-,-,-,"1,011",977,-,-,-,73.55,73.72,102.64,68.13,68.03,-,-,-,-,-
Sussex,Branchville,24,5,"125,238,662","129,085,745","139,959,747","125,713,734","135,339,916","154,235","160,955","177,614","160,554","174,407","33,066.87","35,189.48",-,-,-,617,490,-,-,-,53.74,53.81,109.34,55.25,55.02,-,-,-,-,-
Sussex,Lafayette,24,5,"357,197,422","343,614,618","335,506,466","341,495,402","338,154,078","145,084","140,883","138,984","142,053","142,261","40,585.63","41,612.84",-,-,-,"2,234","2,229",-,-,-,66.12,67.28,101.94,67.41,67.88,-,-,-,-,-
Sussex,Montague,24,5,"319,295,672","352,544,284","368,302,299","363,744,912","368,673,476","84,694","93,987","99,059","98,442","100,511","28,842.79","32,095.24",-,-,-,"2,949","2,390",-,-,-,80.71,73.34,103.1,73.65,73.41,-,-,-,-,-
Sussex,Hamburg,24,5,"268,555,294","270,095,660","270,836,510","266,572,538","268,611,751","84,505","85,609","86,007","85,113","85,983","32,557.20","32,899.43",-,-,-,"2,771","2,805",-,-,-,83.72,83.72,110.91,83.81,84.2,-,-,-,-,-
Sussex,Hardyston,24,5,"1,155,119,061","1,119,354,654","1,137,370,373","1,112,604,223","1,109,594,599","143,976","139,397","143,481","141,427","142,183","51,201.87","43,282.01",-,-,-,"7,322","7,299",-,-,-,79.22,79.81,105.91,80.77,80.86,Aa2,Aa2,Aa2,Aa2,-
Bergen,Tenafly,37,9,"4,226,582,336","4,392,253,038","4,513,347,531","4,516,313,629","4,577,782,888","285,271","295,178","304,011","303,108","312,669","111,418.79","117,758.47",-,-,-,"14,766","14,780",-,-,-,91.89,91.8,115.11,91.57,91.66,-,Aa1,Aaa,Aaa,-
Bergen,Upper Saddle River,39,5,"2,744,168,738","2,749,234,964","2,792,207,318","2,752,324,978","2,737,335,817","328,407","328,110","335,360","327,074","330,996","113,852.29","120,212.56",-,-,-,"8,415","8,329",-,-,-,90.42,90.45,125.52,91.96,91.16,Aaa,Aaa,Aaa,Aaa,-
Bergen,Saddle Brook,38,9,"2,228,925,829","2,400,218,561","2,298,319,616","2,392,646,446","2,416,961,225","159,391","170,252","163,361","168,865","173,508","36,029.12","37,381.47",-,-,-,"13,302","13,501",-,-,-,62.75,63.74,121.48,63.18,61.72,-,-,-,-,-
Bergen,South Hackensack,36,9,"626,818,302","603,502,728","701,579,985","688,722,346","653,905,513","253,773","244,829","285,660","276,373","265,169","27,017.02","27,901.67",-,-,-,"2,270","2,307",-,-,-,28.88,28.85,118.92,28.81,29.05,-,-,-,-,-
Bergen,Ramsey,39,5,"3,312,025,042","3,394,756,504","3,522,001,621","3,650,563,335","3,539,080,503","223,785","224,789","232,998","239,507","236,080","66,828.15","68,761.19",-,-,-,"15,093","15,057",-,-,-,79.14,79.18,101.32,77.47,77.59,-,-,-,-,-
Bergen,Paramus,38,5,"8,676,049,658","8,719,876,513","9,650,648,203","10,423,701,365","9,914,233,591","323,347","323,270","359,027","385,606","373,305","49,784.40","51,699.02",-,-,-,"25,149","25,199",-,-,-,52.22,52.55,120.53,53.17,53.25,Aa1,Aaa,Aaa,Aaa,-
Bergen,Ridgewood,40,5,"6,195,324,076","6,366,296,723","6,434,543,013","6,616,447,759","6,783,654,794","242,992","248,480","252,009","257,529","268,426","99,364.28","101,571.89",-,-,-,"25,102","25,204",-,-,-,89.35,89.37,111.43,89.44,89.48,-,-,-,-,-
Somerset,Branchburg,16,7,"2,956,845,756","3,036,514,665","3,058,393,034","3,125,409,712","3,249,904,303","203,192","206,918","208,224","212,439","223,100","60,058.91","62,981.64",-,-,-,"14,598","14,600",-,-,-,70.24,69.37,103.25,69,69.1,Aa1,Aa1,Aa1,-,-
Bergen,Ridgefield,36,9,"1,771,627,244","1,705,885,332","1,829,594,925","1,944,265,211","1,938,698,179","156,934","149,994","161,098","170,028","172,099","30,856.28","31,940.98",-,-,-,"10,072","10,248",-,-,-,61.57,62.93,118.61,62.79,62.89,Aa3,Aa3,Aa3,-,-
Bergen,Rochelle Park,38,5,"954,162,242","941,526,728","947,909,082","945,993,492","999,184,043","165,051","165,674","167,209","165,818","177,981","35,802.89","37,179.25",-,-,-,"5,300","5,371",-,-,-,62.3,63,98.82,63.1,63.31,-,-,-,-,-
Somerset,Franklin Twp,17,12,"9,043,170,683","9,026,049,743","9,235,138,153","10,105,285,323","10,556,664,931","137,147","136,432","139,270","151,426","160,353","42,362.07","43,208.49",-,-,-,"60,726","62,202",-,-,-,66.94,67.54,99.88,67.04,66.6,Aa1,Aa1,-,-,-
Bergen,River Vale,39,5,"1,948,453,499","200,423,506","2,047,995,196","2,066,988,035","2,069,417,689","194,437","19,976","201,813","202,190","205,667","65,205.70","67,355.93",-,-,-,"9,794","9,851",-,-,-,94.81,95.08,98.73,95.18,95.24,Aa2,Aa2,Aa2,-,-
Somerset,Bridgewater,23,7,"9,100,392,294","9,018,777,192","9,375,495,711","9,172,488,302","9,271,201,010","202,668","199,539","208,349","201,975","207,660","57,613.38","59,853.09",-,-,-,"44,976","45,086",-,-,-,73.25,74.1,110.23,74.1,74.07,Aa1,Aa1,Aa1,Aa1,-
Somerset,Millstone,16,7,"53,097,352","52,983,664","52,212,336","56,544,449","58,419,002","126,422","126,453","124,315","134,630","141,794","43,830.26","43,826.95",-,-,-,427,414,-,-,-,91.77,91.5,98.53,92.05,92.01,-,-,-,-,-
Bergen,Rutherford,36,9,"2,604,701,400","2,774,457,426","2,882,210,460","2,987,465,075","2,962,809,174","141,069","148,446","154,667","159,060","160,499","46,443.38","48,095.78",-,-,-,"16,732","16,903",-,-,-,79.82,79.9,105.99,79.84,79.84,A1,Aa3,-,-,-
Somerset,Hillsborough,16,7,"5,822,192,713","5,960,495,843","6,166,396,098","6,391,695,740","6,517,101,052","147,233","149,682","154,810","159,780","164,150","52,491.79","54,749.86",-,-,-,"39,595","39,885",-,-,-,84.24,84.39,109.66,84.32,84.62,-,-,-,-,-
Somerset,Montgomery,16,7,"4,401,475,735","4,486,410,550","4,556,893,244","4,654,396,275","4,734,059,239","193,505","194,647","195,139","197,354","203,449","84,680.60","91,618.99",-,-,-,"22,781","22,779",-,-,-,86.06,86.31,120.48,87.21,87.27,Aa1,Aa1,Aa1,Aa1,-
Somerset,Peapack Gladstone,23,7,"717,254,747","734,411,120","738,715,656","732,327,880","726,958,650","276,505","282,249","284,231","280,585","280,571","107,282.88","206,952.63",-,-,-,"2,244","1,453",-,-,-,66.01,66.85,103.02,67.34,67.9,Aa2,Aa2,Aa2,Aa2,-
Somerset,Rocky Hill,16,7,"123,361,692","133,190,209","128,340,669","128,415,059","134,792,588","180,090","193,029","186,542","186,650","199,103","57,158.71","60,572.70",-,-,-,642,470,-,-,-,86.31,87.51,99.32,86.35,85.44,-,-,-,-,-
Somerset,Somerville,16,7,"1,207,088,324","1,195,363,597","1,224,652,274","1,262,902,896","1,275,768,096","99,324","97,965","100,670","101,699","104,554","33,404.97","35,168.15",-,-,-,"10,996","10,917",-,-,-,62,62.15,105.23,62.47,62.49,Aa3,-,-,-,-
Somerset,Warren,21,7,"4,515,157,216","4,585,997,627","4,580,422,950","4,573,285,684","4,645,816,305","283,117","287,433","285,705","285,313","295,066","101,825.79","110,030.71",-,-,-,"16,166","16,231",-,-,-,81.98,83.38,101.65,84.02,83.94,Aa1,Aa1,Aa1,Aaa,-
Bergen,Oakland,39,5,"2,338,115,388","2,360,669,782","2,405,702,544","2,483,069,174","2,479,746,292","179,221","179,314","183,222","187,770","190,442","54,309","64,877.18",-,-,-,"12,661","12,545",-,-,-,83.17,83.3,110.62,83.5,83.61,Aa2,Aa2,Aa2,Aa2,-
Bergen,Old Tappan,39,5,"1,726,960,381","1,713,810,703","1,761,753,524","1,760,050,217","1,754,026,533","290,587","284,875","293,528","291,303","294,993","97,055.80","95,378.83",-,-,-,"5,804","5,880",-,-,-,92.72,92.76,101.75,92.93,93.05,Aa2,Aa2,Aa2,Aa2,-
Bergen,Palisades Park,37,9,"2,458,732,492","2,569,744,732","2,795,287,869","2,937,607,951","2,977,015,199","120,108","123,885","134,693","139,966","142,988","28,023.16","29,039.18",-,-,-,"15,142","15,278",-,-,-,75.55,76.1,119.7,76.6,76.79,Aa3,Aa3,Aa2,Aa2,-
Monmouth,Wall,30,4,"5,614,372,406","5,713,791,465","5,924,070,513","6,128,451,633","6,328,454,596","215,672","219,297","227,963","235,882","246,195","54,959.84","56,341.69",-,-,-,"25,068","25,278",-,-,-,76.36,76.41,99.19,75.83,75.4,-,-,-,-,-
Monmouth,Tinton Falls,11,4,"3,020,907,107","3,131,413,402","3,108,408,869","3,191,353,956","597,860,150","168,785","176,199","174,630","179,400","34,041","48,066.58","49,976.70",-,-,-,"16,380","16,427",-,-,-,69.68,69.42,104.2,71.29,72.04,Aa2,Aa2,Aa2,Aa2,-
Monmouth,Spring Lake,30,4,"3,487,646,740","3,545,799,775","3,871,548,762","4,105,113,967","1,270,449,964","1,165,657","1,195,885","1,306,631","1,385,926","434,342","125,067.17","122,540.91",-,-,-,"2,706","2,667",-,-,-,93.96,93.72,109.58,94.32,93.65,-,-,-,-,-
Monmouth,Rumson,13,4,"3,339,430,763","3,337,400,638","3,428,675,376","3,603,397,039","806,200,322","478,566","481,866","502,444","524,970","118,979","169,707.53","181,567.08",-,-,-,"7,252","7,308",-,-,-,94.91,95.05,99.25,95.52,95.25,Aaa,Aaa,Aaa,Aaa,-
Monmouth,Oceanport,13,6,"1,144,865,193","1,152,876,723","1,190,693,638","1,233,986,102","1,256,357,337","196,106","200,885","207,981","214,420","218,459","56,773.20","57,893.70",-,-,-,"5,325","5,347",-,-,-,86.21,86.31,114.38,87.15,86.65,A1,A1,Aa3,Aa3,-
Monmouth,Neptune Twp,11,4,"3,468,809,193","521,961,381","3,760,384,461","4,049,311,530","1,530,022,858","125,133","18,929","135,319","145,429","55,446","29,158.05","31,983.16",-,-,-,"4,728","24,973",-,-,-,79.09,78.17,100.81,78.2,78.45,-,-,-,-,-
Monmouth,Millstone Twp,12,4,"1,764,761,030","1,777,323,067","1,834,828,544","1,882,460,635","11,110,150,917","168,909","170,193","175,582","178,992","1,062,867","62,586.45","64,066.10",-,-,-,"10,311","10,258",-,-,-,88.38,88.6,99.22,89.13,89.25,-,-,-,-,-
Monmouth,Howell,30,4,"6,388,597,383","6,591,132,558","6,760,028,111","7,130,335,655","676,983,148","123,101","126,500","129,391","135,878","12,990","38,088.73","39,870.02",-,-,-,"51,155","51,830",-,-,-,83.06,83.96,106.08,85.13,85.1,A1,A1,Aa3,Aa3,-
Monmouth,Matawan,12,6,"911,390,885","1,016,280,693","1,035,121,351","1,056,101,333","2,185,310,750","104,541","114,795","116,989","119,078","250,150","40,652.72","42,626.30",-,-,-,"8,522","8,494",-,-,-,77.54,76.4,102.06,76.69,74.92,-,-,-,-,-
Monmouth,Loch Arbour,11,6,"154,901,572","148,739,239","136,977,890","157,312,801","720,840,291","815,271","795,397","748,513","859,633","3,982,543","75,676.02","60,117.27",-,-,-,165,153,-,-,-,92.21,94.06,91.87,93.63,93.66,-,-,-,-,-
Monmouth,Keyport,13,6,"661,054,153","680,136,859","704,637,401","712,403,978","302,257,752","92,300","95,191","99,455","100,551","42,855","30,718.20","32,142.86",-,-,-,"5,824","5,900",-,-,-,71.94,71.97,102.95,72.75,71.97,-,-,-,-,-
Monmouth,Hazlet,13,6,"2,325,236,468","2,339,691,453","2,437,620,682","2,586,429,523","2,300,562,923","115,305","116,420","121,918","129,225","116,178","36,099.21","37,445.79",-,-,-,"19,653","19,445",-,-,-,79.38,80.69,105.55,81.07,81.51,Aa3,Aa3,Aa2,Aa2,-
Monmouth,Freehold,11,4,"951,845,338","986,304,992","1,032,101,092","1,049,932,001","159,094,861","79,499","82,474","86,797","88,274","13,520","23,187.59","23,557.31",-,-,-,"10,547","10,639",-,-,-,71.9,72.02,100.19,71.45,71.48,A1,A1,A1,-,-
Monmouth,Fair Haven,13,4,"1,516,380,483","1,600,234,359","1,624,282,517","1,677,914,624","257,909,176","250,724","265,423","271,801","282,002","44,314","94,905.61","106,132.74",-,-,-,"6,380","6,459",-,-,-,95.84,96.12,103.01,95.85,95.99,-,-,-,-,-
Cumberland,Bridgeton,3,2,"460,646,594","468,646,623","482,322,876","501,104,951","536,314,422","18,174","18,723","19,295","20,449","21,942","11,717.61","12,540.21",-,-,-,"20,399","19,513",-,-,-,67.75,64.84,98.52,64.81,65.73,-,-,-,-,-
Cape May,Woodbine,1,2,"157,147,346","152,953,523","158,490,254","167,204,306","157,416,882","64,431","61,625","63,549","67,942","64,621","20,646.08","21,073.08",-,-,-,"1,569","1,248",-,-,-,75.74,74.14,88.77,74.63,74.63,-,-,-,-,-
Monmouth,Bradley Beach,30,4,"1,089,715,811","1,133,200,920","1,183,766,155","1,220,332,980","1,817,767,196","255,203","265,511","278,796","288,836","435,498","36,673.95","38,527.32",-,-,-,"3,686","3,668",-,-,-,88.23,87.64,103.06,88.07,88.54,-,-,-,-,-
Cumberland,Fairfield,1,2,"293,109,805","289,426,937","291,542,124","278,509,444","272,725,196","45,226","45,543","47,305","45,755","46,209","20,664.22","21,714.65",-,-,-,"4,192","4,146",-,-,-,79.76,79.97,93.25,80.16,80.94,A2,A2,-,Aa2,-
Monmouth,Avon By The Sea,30,4,"977,029,513","976,053,048","983,443,963","991,766,366","901,467,849","544,306","544,065","548,797","552,824","506,443","64,702.69","67,412.51",-,-,-,"1,759","1,670",-,-,-,93.52,93.18,108.39,93.78,93.93,-,-,-,-,-
Cumberland,Deerfield,3,2,"195,814,209","196,452,147","194,388,593","195,260,891","200,268,289","62,701","63,392","63,052","63,873","65,899","29,057.52","29,595.29",-,-,-,"2,508","2,511",-,-,-,71.25,71.09,102.32,70.82,70.97,-,-,-,-,-
Monmouth,Allentown,12,4,"184,826,327","210,168,539","207,789,570","198,874,251","664,018,899","102,284","115,161","114,801","109,815","371,375","39,899.90","39,911.17",-,-,-,"1,703","1,731",-,-,-,89.65,89.57,108.19,89.63,89.63,-,-,-,-,-
Monmouth,Aberdeen,13,6,"1,999,678,536","2,076,708,282","2,074,801,409","2,228,103,108","7,999,685,880","109,320","112,236","112,921","121,389","429,260","38,569.99","40,282.64",-,-,-,"16,656","16,867",-,-,-,83.81,84.59,102.1,86.02,84.66,A1,A1,A1,A1,-
Cumberland,Lawrence,1,2,"212,509,145","212,462,093","220,136,161","226,010,755","228,495,651","64,928","65,839","68,793","70,939","73,732","26,266.59","29,359.10",-,-,-,"2,680","2,601",-,-,-,80.77,80.71,93.06,81.2,81.09,-,-,-,-,-
Middlesex,South River,18,12,"1,292,961,910","1,338,389,682","1,350,242,703","1,383,622,476","1,419,843,307","79,158","81,614","82,862","84,630","88,613","27,977.50","28,904.98",-,-,-,"14,399","14,468",-,-,-,87.13,86.93,327.98,86.86,86.85,A1,A1,A1,-,-
Cumberland,Greenwich,1,2,"79,294,542","76,933,618","78,018,814","77,854,140","78,060,325","98,871","97,756","100,540","100,978","102,040","33,457.95","33,938.57",-,-,-,626,627,-,-,-,66.49,66.47,124.1,69.2,69.82,-,-,-,-,-
Sussex,Vernon,24,5,"2,449,316,543","2,369,264,409","2,352,165,849","2,418,897,146","2,458,914,613","107,431","105,072","105,087","108,768","111,308","36,052.09","36,334.56",-,-,-,"20,580","20,227",-,-,-,88.34,88.4,89.65,88.51,88.63,Aa3,Aa3,Aa3,Aa3,-
Middlesex,South Brunswick,16,12,"7,901,116,177","8,680,361,208","8,536,902,266","8,637,447,577","9,982,501,653","174,947","190,092","186,701","185,508","217,285","48,189.57","49,165.12",-,-,-,"44,359","44,665",-,-,-,65.18,65.45,234.69,65.74,65.9,Aa3,Aa3,Aa3,Aa3,-
Sussex,Sussex,24,5,"123,628,837","125,959,230","127,045,159","136,130,042","126,728,700","59,494","61,654","62,308","67,258","63,269","24,263.05","24,561.02",-,-,-,"1,543","1,550",-,-,-,64.31,64.6,103.1,64.49,64.65,A2,A2,A2,A2,-
Burlington,Maple Shade,6,1,"1,429,985,698","1,419,840,128","1,324,675,614","1,398,912,891","1,362,233,656","75,346","74,874","70,278","74,327","73,523","28,116.17","29,291.83",-,-,-,"16,297","16,431",-,-,-,57.24,57.38,102.98,58.29,58.08,-,-,-,-,-
Union,Berkeley Heights,21,7,"3,128,959,624","3,217,619,904","3,342,934,195","3,323,242,516","3,442,766,635","231,056","237,480","246,875","241,532","253,126","72,201.77","74,561.48",-,-,-,"13,241","13,396",-,-,-,77.08,77.07,184.47,75.68,75.65,Aa1,Aa1,Aa1,Aa1,-
Sussex,Walpack,24,5,"2,986,019","2,810,376","2,794,659","2,761,782","2,620,451","199,068","187,358","254,060","251,071","238,223",-,-,-,-,-,-,-,-,-,-,19.93,22.22,107.37,21.56,24.03,-,-,-,-,-
Burlington,Fieldsboro,7,3,"49,210,512","48,606,900","51,629,733","56,275,519","54,466,290","92,850","91,366","96,866","105,980","101,051","24,988.38","27,112.53",-,-,-,601,583,-,-,-,75.05,73.62,97.84,73.35,73.28,-,-,-,-,-
Sussex,Ogdensburg,24,11,"193,981,960","189,225,368","185,167,200","189,987,609","196,945,249","83,975","82,776","80,718","83,255","86,913","32,650.91","35,105.69",-,-,-,"2,237","2,215",-,-,-,90.42,90.58,94.15,90.73,90.72,-,-,-,-,-
Burlington,Edgewater Park,7,3,"583,545,674","539,564,141","542,192,107","522,522,630","529,767,656","66,267","61,398","61,944","59,799","61,075","25,654.72","26,361.15",-,-,-,"7,092","6,995",-,-,-,75.89,75.86,91.04,76.41,76.9,-,-,-,-,-
Sussex,Stanhope,24,11,"328,819,082","323,602,790","318,979,554","313,986,458","323,602,876","94,110","94,898","94,822","93,980","97,647","36,574.70","38,212.22",-,-,-,"3,270","3,268",-,-,-,88.88,88.91,108.5,88.94,88.95,-,-,-,-,-
Burlington,Lumberton,8,3,"1,349,696,791","1,322,320,112","1,361,926,514","1,359,860,280","1,379,696,600","108,436","106,398","110,501","110,648","113,044","41,213.44","43,135.08",-,-,-,"11,624","11,727",-,-,-,81.54,81.35,97.97,81.05,80.93,-,-,-,-,-
Sussex,Sandyston,24,5,"252,090,996","245,692,491","243,592,521","249,261,286","244,594,214","131,709","129,927","129,778","134,300","133,076","35,381.27","36,062.69",-,-,-,"1,574","1,478",-,-,-,75.53,75.33,107.69,75.8,75.49,-,-,-,-,-
Burlington,Florence,7,3,"1,160,036,318","1,188,545,016","1,240,024,148","1,247,776,069","1,252,345,649","93,877","93,675","97,917","98,490","99,868","35,088.21","35,408.07",-,-,-,"11,285","11,537",-,-,-,80.56,80.39,99.4,80.62,80.66,-,-,-,-,-
Burlington,Burlington Twp,7,3,"2,298,809,103","2,481,330,605","2,393,979,682","2,325,033,510","2,446,492,920","101,390","108,706","105,244","101,868","108,617","32,983.15","33,808.94",-,-,-,"20,870","21,239",-,-,-,69.35,70.22,108.23,69.72,70.07,-,-,-,-,-
Burlington,Cinnaminson,7,3,"1,736,857,589","1,778,805,361","1,800,051,860","1,784,960,827","1,765,246,604","103,139","106,829","108,883","108,212","107,801","40,453.27","42,710.65",-,-,-,"15,465","15,529",-,-,-,83.23,83.2,112.13,83.67,83.75,-,-,-,-,-
Burlington,Delanco,7,3,"418,237,842","415,711,059","415,350,484","417,859,666","413,602,961","92,001","91,546","92,485","93,293","93,112","33,696.82","34,601.88",-,-,-,"4,069","4,040",-,-,-,85.3,85.29,105.51,85.58,85.56,A1,A1,A1,A1,-
Burlington,Eastampton,8,3,"465,731,261","453,263,160","450,817,114","452,321,132","466,031,472","76,993","75,406","75,463","75,982","78,338","32,919.74","34,087.45",-,-,-,"5,339","5,267",-,-,-,84.68,84.67,105.14,84.15,83.96,A2,A2,A2,A2,-
Union,Cranford,21,7,"3,823,999,869","4,002,340,968","4,234,118,632","4,542,324,806","4,652,296,175","159,953","165,776","175,711","185,864","192,490","52,607.29","55,430.81",-,-,-,"22,403","22,527",-,-,-,83.67,82.88,255.49,82.76,83.1,Aa2,Aa2,Aa2,Aa2,-
Union,Elizabeth,20,8,"6,808,276,265","6,686,841,431","6,995,486,208","7,451,469,452","8,209,148,920","52,898","51,833","54,380","57,224","63,694","17,922.55","18,688.41",-,-,-,"109,248","111,080",-,-,-,58.47,58.75,763.94,58.08,57.88,Aa3,Aa3,Aa3,Aa3,-
Union,Garwood,21,7,"640,334,213","629,887,717","666,099,069","731,028,064","731,618,189","142,836","144,768","153,232","165,841","167,610","41,969.28","46,128.14",-,-,-,"3,901","3,942",-,-,-,71.69,71.55,356.89,71.8,72.67,A1,A1,-,-,-
Burlington,Bordentown Twp,7,3,"1,323,180,259","1,291,030,008","1,337,726,700","1,346,288,715","1,356,868,043","114,028","108,172","110,602","110,333","113,583","37,411.66","38,897.35",-,-,-,"10,857","10,923",-,-,-,72.47,74.08,115.35,74.14,74.33,-,-,-,-,-
Cumberland,Maurice River,1,2,"303,767,473","294,950,166","294,838,090","277,778,855","279,098,453","38,340","38,122","44,931","43,918","46,285","26,480.94","30,772.68",-,-,-,"2,805","1,887",-,-,-,80.55,80.36,98.43,80.42,80.39,-,-,-,-,-
Cumberland,Shiloh,1,2,"30,776,315","28,234,277","30,592,565","31,465,273","32,049,710","60,464","55,909","61,185","63,310","65,142","30,674.59","33,807.93",-,-,-,436,288,-,-,-,84.34,84.32,92.7,84.21,84.32,-,-,-,-,-
Cumberland,Stow Creek,1,2,"105,368,573","102,817,432","106,500,146","118,208,299","117,565,506","73,684","72,254","75,159","84,134","84,885","31,347.90","32,848.38",-,-,-,"1,253","1,253",-,-,-,58.62,60.49,99.56,60.85,60.8,-,-,-,-,-
